version,map[int32]*int32,map[int32]int32,[]map[int32]int32,[]main.t
1.5.4,5948508996,29917541,6439752,277136
1.6.4,2679117477,28539150,6930128,110908
1.7.6,1788160563,21332838,4733558,261375
1.8.7,511727666,10055629,3562580,66705
1.9.7,1613323997,20431124,5111304,124486
1.10.8,407487092,20690317,1876465,98603
1.11.13,407075623,19724950,5314916,59637
1.12.14,376793671,18465350,2348849,70423
1.13.5,444136485,10100126,5442295,222773
1.14beta1,376520965,12067459,6308769,123911
